City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
473,Hailar,CN,70.83,broken clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
474,Iberia,US,89.98,broken clouds,29.9502,-91.7507,back to back rv park
484,Muisne,EC,76.17,overcast clouds,0.6,-80.0333,Quinta Samay
486,Barra,BR,76.51,clear sky,-11.0894,-43.1417,Motel Albatroz
487,Tevaitoa,PF,77.67,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
490,Dire Dawa,ET,72.0,light rain,9.5931,41.8661,Samrat Hotel
491,Muli,MV,82.31,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
493,Alexandria,EG,81.14,clear sky,31.2156,29.9553,Royal Crown Hotel
498,Iwanai,JP,81.54,overcast clouds,42.9744,140.5089,いわない高原ホテル
500,Kudamatsu,JP,82.42,overcast clouds,34.0,131.8667,Hotel AZ Yamaguchi Kudamatsu
502,Tuy Hoa,VN,83.82,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
503,Katsuura,JP,84.31,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
507,Carauari,BR,81.19,overcast clouds,-4.8828,-66.8958,Hotel Fellip
508,Kalmunai,LK,79.79,overcast clouds,7.4167,81.8167,VS Villa
510,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
513,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
515,Sioux Lookout,CA,78.87,smoke,50.1001,-91.917,Knobby's Fly-In Camps
516,Lorengau,PG,83.35,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
520,Sindgi,IN,71.71,overcast clouds,16.9167,76.2333,Swaranambika nilaya
524,Ixtapa,MX,88.83,broken clouds,20.7,-105.2,Hotel Plaza Providencia
525,Pangkalanbuun,ID,76.46,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
526,Mazara Del Vallo,IT,81.93,clear sky,37.6641,12.588,Vizier Resort & Spa
527,Tatawin,TN,79.68,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
530,Port Keats,AU,77.47,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
531,North Branch,US,86.14,overcast clouds,45.5113,-92.9802,AmericInn by Wyndham North Branch
533,Nenagh,IE,70.99,overcast clouds,52.8619,-8.1967,Abbey Court
534,Zhuhai,CN,85.05,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
540,Sao Felix Do Xingu,BR,83.5,broken clouds,-6.6447,-51.995,Rio Xingu Camping
541,Beidao,CN,73.49,broken clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
543,Maceio,BR,74.64,scattered clouds,-9.6658,-35.7353,Poutur Pousada
544,Koungou,YT,74.91,clear sky,-12.7336,45.2042,Villa Netibor
546,Noshiro,JP,81.54,few clouds,40.2039,140.0242,Azuma Ryokan
547,Olinda,BR,73.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
549,Pringsewu,ID,74.71,broken clouds,-5.3582,104.9744,Urban Style by Front One
550,Bluefields,NI,84.27,broken clouds,12.0137,-83.7635,Flamingo Hotel and Casino
551,Tautira,PF,82.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
552,Berbera,SO,87.06,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
556,Darnah,LY,78.08,clear sky,32.767,22.6367,فندق الفردوس
557,Idenao,CM,76.44,light rain,4.2475,9.0047,Moland Beach Resort
562,Auki,SB,85.1,scattered clouds,-8.7676,160.7034,Auki Motel
563,Charters Towers,AU,70.48,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
564,Kavieng,PG,82.36,moderate rain,-2.5744,150.7967,Nusa Island Retreat
566,Shimoda,JP,86.11,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
568,Trinidad,BO,78.78,clear sky,-14.8333,-64.9,Hotel Piesta
570,Marawi,PH,72.64,moderate rain,7.9986,124.2928,Derogongan Residence
572,Tieli,CN,80.24,broken clouds,46.95,128.05,Dynasty Hotel
573,Gorontalo,ID,78.15,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
